town,rsu,frames,ncav_mean,ncav_median,ncav_p75,ncav_p95,ncav_max,ntotal_mean,ntotal_median,ntotal_p95,ntotal_max
Town01__2023_11_10_22_23_28,rsu_25,300,11.74,12,12,12,13,12.74,13,13,14
Town01__2023_11_10_22_23_28,rsu_29,300,7.29,7,7,9,9,8.29,8,10,10
Town01__2023_11_10_22_23_28,rsu_32,300,8.3,8,8,11,11,9.3,9,12,12
Town01__2023_11_10_22_23_28,rsu_35,300,3.6,4,4,4,5,4.6,5,5,6
Town01__2023_11_10_22_23_28,rsu_38,300,4.27,4,5,8,8,5.27,5,9,9
Town01__2023_11_10_22_23_28,rsu_41,300,16.09,16,17,18,18,17.09,17,19,19
Town01__2023_11_10_22_23_28,rsu_43,300,12.99,12,14,16,17,13.99,13,17,18
Town01__2023_11_10_22_23_28,rsu_50,300,6.22,7,8,8,8,7.22,8,9,9
Town01__2023_11_10_22_23_28,rsu_51,300,8.34,9,11,12,12,9.34,10,13,13
Town01__2023_11_10_22_23_28,rsu_56,300,8.17,8,9,9,9,9.17,9,10,10
Town01__2023_11_10_22_23_28,rsu_59,300,13.0,14,14,14,15,14.0,15,15,16
Town01__2023_11_10_22_23_28,rsu_60,300,12.95,13,13,15,16,13.95,14,16,17
Town03__2023_11_13_18_26_24,rsu_66,300,13.76,14,14,16,16,14.76,15,17,17
Town03__2023_11_13_18_26_24,rsu_67,300,12.32,12,13,14,15,13.32,13,15,16
Town03__2023_11_13_18_26_24,rsu_68,300,11.0,11,12,13,13,12.0,12,14,14
Town03__2023_11_13_18_26_24,rsu_70,300,12.28,13,15,17,17,13.28,14,18,18
Town03__2023_11_13_18_26_24,rsu_77,300,9.65,8,11,15,15,10.65,9,16,16
Town03__2023_11_13_18_26_24,rsu_80,300,18.66,18,19,20,21,19.66,19,21,22
Town03__2023_11_13_18_26_24,rsu_83,300,7.74,8,9,10,10,8.74,9,11,11
Town03__2023_11_13_18_26_24,rsu_85,300,12.53,12,14,14,15,13.53,13,15,16
Town03__2023_11_13_18_26_24,rsu_89,300,11.45,11,12,13,13,12.45,12,14,14
Town03__2023_11_13_18_26_24,rsu_93,300,11.87,12,14,14,16,12.87,13,15,17
Town03__2023_11_13_18_26_24,rsu_98,300,12.78,13,14,15,15,13.78,14,16,16
Town05__2023_11_13_23_03_07,rsu_198,300,7.65,7,8,9,9,8.65,8,10,10
Town05__2023_11_13_23_03_07,rsu_205,300,9.81,10,11,11,12,10.81,11,12,13
Town05__2023_11_13_23_03_07,rsu_209,300,11.8,12,13,14,14,12.8,13,15,15
Town05__2023_11_13_23_03_07,rsu_213,300,8.66,9,10,11,11,9.66,10,12,12
Town05__2023_11_13_23_03_07,rsu_214,300,9.61,10,10,12,13,10.61,11,13,14
Town05__2023_11_13_23_03_07,rsu_218,300,15.82,16,16,18,19,16.82,17,19,20
Town05__2023_11_13_23_03_07,rsu_224,300,7.1,7,10,11,11,8.1,8,12,12
Town05__2023_11_13_23_03_07,rsu_230,300,15.29,15,16,16,17,16.29,16,17,18
Town05__2023_11_13_23_03_07,rsu_231,300,6.72,7,9,9,10,7.72,8,10,11
Town05__2023_11_13_23_03_07,rsu_238,300,15.07,15,16,17,17,16.07,16,18,18
Town05__2023_11_13_23_03_07,rsu_240,300,8.39,8,9,10,10,9.39,9,11,11
Town05__2023_11_13_23_03_07,rsu_244,300,8.55,9,10,10,10,9.55,10,11,11
Town05__2023_11_13_23_03_07,rsu_245,300,7.44,8,9,9,9,8.44,9,10,10
Town05__2023_11_13_23_03_07,rsu_246,300,6.11,6,7,8,8,7.11,7,9,9
Town05__2023_11_13_23_03_07,rsu_250,300,22.54,23,24,25,25,23.54,24,26,26
Town06__2023_11_14_16_39_31,rsu_105,300,7.43,8,9,10,10,8.43,9,11,11
Town06__2023_11_14_16_39_31,rsu_107,300,3.09,3,3,4,4,4.09,4,5,5
Town06__2023_11_14_16_39_31,rsu_110,300,3.98,4,5,6,6,4.98,5,7,7
Town06__2023_11_14_16_39_31,rsu_112,300,5.11,5,6,6,6,6.11,6,7,7
Town06__2023_11_14_16_39_31,rsu_117,300,11.15,10,14,15,16,12.15,11,16,17
Town06__2023_11_14_16_39_31,rsu_119,300,12.52,13,13,14,14,13.52,14,15,15
Town06__2023_11_14_16_39_31,rsu_53,300,7.29,6,9,11,11,8.29,7,12,12
Town06__2023_11_14_16_39_31,rsu_56,300,5.12,5,6,6,7,6.12,6,7,8
Town07__2023_11_14_22_06_38,rsu_122,300,12.75,12,13,15,16,13.75,13,16,17
Town07__2023_11_14_22_06_38,rsu_127,300,5.31,5,6,6,7,6.31,6,7,8
Town07__2023_11_14_22_06_38,rsu_130,300,8.71,9,10,10,11,9.71,10,11,12
Town07__2023_11_14_22_06_38,rsu_135,300,6.65,7,7,7,8,7.65,8,8,9
Town07__2023_11_14_22_06_38,rsu_94,300,10.63,11,12,13,13,11.63,12,14,14
Town10HD__2023_11_15_00_20_38,rsu_34,300,10.68,10,13,13,13,11.68,11,14,14
Town10HD__2023_11_15_00_20_38,rsu_37,300,13.0,14,15,16,16,14.0,15,17,17
Town10HD__2023_11_15_00_20_38,rsu_40,300,26.56,27,30,31,32,27.56,28,32,33
Town10HD__2023_11_15_00_20_38,rsu_41,300,22.44,24,25,26,26,23.44,25,27,27
Town10HD__2023_11_15_00_20_38,rsu_45,300,5.66,6,6,6,7,6.66,7,7,8
